"","Year","replicate.id","kaartdatum","Longitude","Latitude","beschrijving","datum","opp_bemonsterd_m2","subsample1","TaxonName_ACC","AvgOffactor","SumOfNumber","SumOfN_m2","SumOfB_gr_m2","kokkelstratum","kokkelarea.ha..NEW","corr.factor.kok","getijzone_kaart","Tuig","Species","N_m2","B_gr_m2","month","seizoen","sample.id","locatie.nr","schip","project.id","dvd","evmax","Comp"
"1",2011,125650,"WGS84",4.083333333,51.5,"kokkelschuifje",2011-04-20,0.1,1,"Cerastoderma edule",1,15,150,209.4451736,"r",26.67,1,"","kokkelschuifje","Cerastoderma edule",150,209.4451736,4,"vj",NA,NA,NA,NA,18.8547197350486,0.492136909867751,"East"
"2",2011,125654,"WGS84",4.083333333,51.6125,"kokkelschuifje",2011-05-13,0.1,1,"Cerastoderma edule",1,2,20,9.687223315,"r",26.67,1,"","kokkelschuifje","Cerastoderma edule",20,9.687223315,5,"vj",NA,NA,NA,NA,51,0.228999915372771,"North"
"3",2011,125654,"WGS84",4.083333333,51.6125,"kokkelschuifje",2011-05-13,0.1,1,"Macoma balthica",1,1,10,7.055839502,"r",26.67,1,"","kokkelschuifje","Macoma balthica",10,7.055839502,5,"vj",NA,NA,NA,NA,51,0.228999915372771,"North"
"4",2011,125655,"WGS84",4.083333333,51.61666667,"kokkelschuifje",2011-05-13,0.1,1,"Macoma balthica",1,1,10,0.796895167,"r",26.67,1,"","kokkelschuifje","Macoma balthica",10,0.796895167,5,"vj",NA,NA,NA,NA,10.6343312559084,0.497652529187145,"North"
"5",2011,125657,"WGS84",4.091666667,51.45,"kokkelschuifje",2011-04-27,0.1,1,"Cerastoderma edule",1,3,30,108.2109549,"r",26.67,1,"","kokkelschuifje","Cerastoderma edule",30,108.2109549,4,"vj",NA,NA,NA,NA,57.4994500047065,0.17218564356281,"East"
"6",2011,125658,"WGS84",4.091666667,51.45416667,"kokkelschuifje",2011-04-27,0.1,1,"Cerastoderma edule",1,2,20,119.3694503,"r",26.67,1,"","kokkelschuifje","Cerastoderma edule",20,119.3694503,4,"vj",NA,NA,NA,NA,36.0448526734839,0.257831204928013,"East"
"7",2011,125658,"WGS84",4.091666667,51.45416667,"kokkelschuifje",2011-04-27,0.1,1,"Macoma balthica",1,1,10,5.285928016,"r",26.67,1,"","kokkelschuifje","Macoma balthica",10,5.285928016,4,"vj",NA,NA,NA,NA,36.0448526734839,0.257831204928013,"East"
"8",2011,125663,"WGS84",4.091666667,51.62083333,"kokkelschuifje",2011-05-13,0.1,1,"Cerastoderma edule",1,1,10,127.8980818,"r",26.67,1,"","kokkelschuifje","Cerastoderma edule",10,127.8980818,5,"vj",NA,NA,NA,NA,1.49127294999562,0.80520345664216,"North"
"9",2011,125664,"WGS84",4.091666667,51.625,"kokkelschuifje",2011-05-13,0.1,1,"Cerastoderma edule",1,39,390,3966.345325,"r",26.67,1,"","kokkelschuifje","Cerastoderma edule",390,3966.345325,5,"vj",NA,NA,NA,NA,43.9424989223315,0.34333923370106,"North"
"10",2011,125664,"WGS84",4.091666667,51.625,"kokkelschuifje",2011-05-13,0.1,1,"Macoma balthica",1,2,20,15.74216543,"r",26.67,1,"","kokkelschuifje","Macoma balthica",20,15.74216543,5,"vj",NA,NA,NA,NA,43.9424989223315,0.34333923370106,"North"
"11",2011,125666,"WGS84",4.1,51.44583333,"kokkelschuifje",2011-04-27,0.1,1,"Cerastoderma edule",1,1,10,14.6375492,"r",26.67,1,"","kokkelschuifje","Cerastoderma edule",10,14.6375492,4,"vj",NA,NA,NA,NA,58.5026066842137,0.137345140623845,"East"
"12",2011,125666,"WGS84",4.1,51.44583333,"kokkelschuifje",2011-04-27,0.1,1,"Macoma balthica",1,1,10,1.901388084,"r",26.67,1,"","kokkelschuifje","Macoma balthica",10,1.901388084,4,"vj",NA,NA,NA,NA,58.5026066842137,0.137345140623845,"East"
"13",2011,125667,"WGS84",4.1,51.45,"kokkelschuifje",2011-04-27,0.1,1,"Cerastoderma edule",1,28,280,411.6294172,"r",26.67,1,"","kokkelschuifje","Cerastoderma edule",280,411.6294172,4,"vj",NA,NA,NA,NA,37.2237787247708,0.207456356045994,"East"
"14",2011,125668,"WGS84",4.1,51.45416667,"kokkelschuifje",2011-04-27,0.1,1,"Cerastoderma edule",1,2,20,120.5615577,"r",26.67,1,"","kokkelschuifje","Cerastoderma edule",20,120.5615577,4,"vj",NA,NA,NA,NA,20.6087758199399,0.248325420415081,"East"
"15",2011,125668,"WGS84",4.1,51.45416667,"kokkelschuifje",2011-04-27,0.1,1,"Macoma balthica",1,1,10,9.232490186,"r",26.67,1,"","kokkelschuifje","Macoma balthica",10,9.232490186,4,"vj",NA,NA,NA,NA,20.6087758199399,0.248325420415081,"East"
"16",2011,125672,"WGS84",4.1,51.62083333,"steekbuis (pvc-buis)",2011-05-25,0.10194,1,"Cerastoderma edule",1,1,9.809691976,83.79627835,"r",26.67,1,"","steekbuis (pvc-buis)","Cerastoderma edule",9.809691976,83.79627835,5,"vj",NA,NA,NA,NA,77.7682108001234,0.210413748676406,"North"
"17",2011,125673,"WGS84",4.1,51.625,"steekbuis (pvc-buis)",2011-05-25,0.10194,1,"Cerastoderma edule",1,3,29.42907593,40.90336578,"r",26.67,1,"","steekbuis (pvc-buis)","Cerastoderma edule",29.42907593,40.90336578,5,"vj",NA,NA,NA,NA,74.2815131785099,0.274356306378856,"North"
"18",2011,125675,"WGS84",4.108333333,51.44583333,"kokkelschuifje",2011-04-27,0.1,1,"Cerastoderma edule",1,13,130,242.4876652,"r",26.67,1,"","kokkelschuifje","Cerastoderma edule",130,242.4876652,4,"vj",NA,NA,NA,NA,42.1737643595086,0.23971207132317,"East"
"19",2011,125676,"WGS84",4.108333333,51.45,"kokkelschuifje",2011-04-27,0.1,1,"Cerastoderma edule",1,2,20,53.38106635,"r",26.67,1,"","kokkelschuifje","Cerastoderma edule",20,53.38106635,4,"vj",NA,NA,NA,NA,22.425286457364,0.219623204198991,"East"
"20",2011,125678,"WGS84",4.108333333,51.6125,"kokkelschuifje",2011-05-25,0.1,1,"Cerastoderma edule",1,18,180,1075.316708,"r",26.67,1,"","kokkelschuifje","Cerastoderma edule",180,1075.316708,5,"vj",NA,NA,NA,NA,63.539744050624,0.452808764902502,"North"
"21",2011,125679,"WGS84",4.108333333,51.61666667,"kokkelschuifje",2011-05-25,0.1,1,"Cerastoderma edule",1,1,10,13.12442315,"r",26.67,1,"","kokkelschuifje","Cerastoderma edule",10,13.12442315,5,"vj",NA,NA,NA,NA,72.9310463258443,0.244718192805252,"North"
