"","Year","replicate.id","kaartdatum","Longitude","Latitude","beschrijving","datum","opp_bemonsterd_m2","subsample1","TaxonName_ACC","AvgOffactor","SumOfNumber","SumOfN_m2","SumOfB_gr_m2","kokkelstratum","kokkelarea.ha..NEW","corr.factor.kok","getijzone_kaart","Tuig","Species","N_m2","B_gr_m2","month","seizoen","sample.id","locatie.nr","schip","project.id","dvd","evmax"
"1",2010,116804,"WGS84",3.591666667,51.3875,"steekbuis (pvc-buis)",2010-05-18,0.10194,1,"Macoma balthica",1,3,29.42907593,1.961938395,"r",26.67,1,"eul","steekbuis (pvc-buis)","Macoma balthica",29.42907593,1.961938395,5,"vj",NA,NA,NA,NA,22.0717150243905,0.472023315705659
"2",2010,116807,"WGS84",3.6,51.39583333,"steekbuis (pvc-buis)",2010-05-18,0.10194,1,"Macoma balthica",1,41,402.197371,96.13498136,"r",26.67,1,"eul","steekbuis (pvc-buis)","Macoma balthica",402.197371,96.13498136,5,"vj",NA,NA,NA,NA,10.4351303282674,1.10859287920349
"3",2010,116811,"WGS84",3.608333333,51.39166667,"kokkelschuifje",2010-05-27,0.1,1,"Macoma balthica",1,11,110,37,"r",26.67,1,"eul","kokkelschuifje","Macoma balthica",110,37,5,"vj",NA,NA,NA,NA,28.9776973208194,0.726438894121904
"4",2010,116812,"WGS84",3.608333333,51.39583333,"kokkelschuifje",2010-05-27,0.1,1,"Macoma balthica",1,14,140,58,"r",26.67,1,"eul","kokkelschuifje","Macoma balthica",140,58,5,"vj",NA,NA,NA,NA,82.9127002777557,0.172250165087279
"5",2010,116813,"WGS84",3.608333333,51.4,"kokkelschuifje",2010-05-27,0.1,1,"Macoma balthica",1,14,140,42,"r",26.67,1,"eul","kokkelschuifje","Macoma balthica",140,42,5,"vj",NA,NA,NA,NA,86.331865172715,0.221233112937722
"6",2010,116814,"WGS84",3.608333333,51.40416667,"kokkelschuifje",2010-05-27,0.1,1,"Macoma balthica",1,7,70,22,"r",26.67,1,"eul","kokkelschuifje","Macoma balthica",70,22,5,"vj",NA,NA,NA,NA,49.4333145054323,0.479227805823055
"7",2010,116816,"WGS84",3.616666667,51.39166667,"kokkelschuifje",2010-05-27,0.1,1,"Macoma balthica",1,17,170,32,"r",26.67,1,"eul","kokkelschuifje","Macoma balthica",170,32,5,"vj",NA,NA,NA,NA,53.7414131367879,0.263199205672381
"8",2010,116817,"WGS84",3.616666667,51.4,"kokkelschuifje",2010-05-27,0.1,1,"Macoma balthica",1,8,80,31,"r",26.67,1,"eul","kokkelschuifje","Macoma balthica",80,31,5,"vj",NA,NA,NA,NA,75.8313997994218,0.229353997426612
"9",2010,116818,"WGS84",3.616666667,51.40416667,"kokkelschuifje",2010-05-27,0.1,1,"Macoma balthica",1,5,50,15,"r",26.67,1,"eul","kokkelschuifje","Macoma balthica",50,15,5,"vj",NA,NA,NA,NA,69.5846897365715,0.290777508692262
"10",2010,116819,"WGS84",3.616666667,51.40833333,"kokkelschuifje",2010-05-27,0.1,1,"Macoma balthica",1,2,20,5,"r",26.67,1,"eul","kokkelschuifje","Macoma balthica",20,5,5,"vj",NA,NA,NA,NA,57.8830578176885,0.484212726357433
"11",2010,116820,"WGS84",3.625,51.40833333,"kokkelschuifje",2010-05-27,0.1,1,"Macoma balthica",1,10,100,25,"r",26.67,1,"eul","kokkelschuifje","Macoma balthica",100,25,5,"vj",NA,NA,NA,NA,74.652859919933,0.178628060013726
"12",2010,116822,"WGS84",3.6333333,51.3916667,"kokkelschuifje",2010-05-26,0.1,1,"Macoma balthica",1,11,110,20,"r",26.67,1,"eul","kokkelschuifje","Macoma balthica",110,20,5,"vj",NA,NA,NA,NA,96.692950814415,0.150866734293815
"13",2010,116823,"WGS84",3.633333333,51.39583333,"kokkelschuifje",2010-05-26,0.1,1,"Cerastoderma edule",1,1,10,14,"r",26.67,1,"eul","kokkelschuifje","Cerastoderma edule",10,14,5,"vj",NA,NA,NA,NA,91.2725593979375,0.170702442038438
"14",2010,116823,"WGS84",3.633333333,51.39583333,"kokkelschuifje",2010-05-26,0.1,1,"Macoma balthica",1,100,1000,43,"r",26.67,1,"eul","kokkelschuifje","Macoma balthica",1000,43,5,"vj",NA,NA,NA,NA,91.2725593979375,0.170702442038438
"15",2010,116824,"WGS84",3.633333333,51.4,"kokkelschuifje",2010-05-27,0.1,1,"Macoma balthica",1,22,220,49,"r",26.67,1,"eul","kokkelschuifje","Macoma balthica",220,49,5,"vj",NA,NA,NA,NA,84,0.229751256286917
"16",2010,116825,"WGS84",3.633333333,51.40416667,"kokkelschuifje",2010-05-27,0.1,1,"Macoma balthica",1,45,450,44,"r",26.67,1,"eul","kokkelschuifje","Macoma balthica",450,44,5,"vj",NA,NA,NA,NA,87.0034154076251,0.246247582720881
"17",2010,116827,"WGS84",3.641666667,51.37916667,"kokkelschuifje",2010-05-18,0.1,1,"Macoma balthica",1,10,100,8,"r",26.67,1,"eul","kokkelschuifje","Macoma balthica",100,8,5,"vj",NA,NA,NA,NA,0,0.98308158125605
"18",2010,116828,"WGS84",3.641666667,51.39166667,"kokkelschuifje",2010-05-26,0.1,1,"Macoma balthica",1,20,200,11,"r",26.67,1,"eul","kokkelschuifje","Macoma balthica",200,11,5,"vj",NA,NA,NA,NA,96.9321054357109,0.0266796055651176
"19",2010,116829,"WGS84",3.641666667,51.39583333,"kokkelschuifje",2010-05-26,0.1,1,"Macoma balthica",1,17,170,41,"r",26.67,1,"eul","kokkelschuifje","Macoma balthica",170,41,5,"vj",NA,NA,NA,NA,84,0.240938024731047
